Filter_name,Gene_symbol,Include
tsg,CUL3,Y
tsg,CUL3,Y
tsg,DDX3X,Y
tsg,DDX3X,Y
tsg,DNMT3A,Y
tsg,DNMT3A,Y
tsg,DNMT3A,Y
tsg,EEF2,Y
tsg,EP300,Y
tsg,EP300,Y
tsg,EP300,Y
tsg,EP300,Y
tsg,EPHA2,Y
tsg,EPHA2,Y
tsg,EPHA2,Y
tsg,FAT1,Y
tsg,FAT1,Y
tsg,FAT1,Y
tsg,FAT1,Y
tsg,FAT1,Y
tsg,FBXW7,Y
tsg,FBXW7,Y
tsg,FBXW7,Y
tsg,FBXW7,Y
tsg,FBXW7,Y
tsg,FLNA,Y
tsg,FUBP1,Y
tsg,GPS2,Y
tsg,HLA-A,Y
tsg,HLA-B,Y
tsg,HLA-B,Y
tsg,HLA-B,Y
tsg,HLA-B,Y
tsg,IRF2,Y
tsg,JAK1,Y
tsg,KANSL1,Y
tsg,KANSL1,Y
tsg,KANSL1,Y
tsg,KDM5C,Y
tsg,KDM6A,Y
tsg,KDM6A,Y
tsg,KDM6A,Y
tsg,KDM6A,Y
tsg,KDM6A,Y
tsg,KDM6A,Y
tsg,KIF1A,Y
tsg,KMT2A,Y
tsg,KMT2B,Y
tsg,KMT2B,Y
tsg,KMT2C,Y
tsg,KMT2C,Y
tsg,KMT2C,Y
tsg,KMT2C,Y
tsg,KMT2C,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,KMT2D,Y
tsg,LATS1,Y
tsg,LATS2,Y
tsg,MAP2K4,Y
tsg,MAP2K4,Y
tsg,MAP3K1,Y
tsg,MAP3K1,Y
tsg,MAP3K1,Y
tsg,MAP3K1,Y
tsg,MEN1,Y
tsg,MGA,Y
tsg,MGA,Y
tsg,MSH6,Y
tsg,NCOR1,Y
tsg,NCOR1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF1,Y
tsg,NF2,Y
tsg,NF2,Y
tsg,NF2,Y
tsg,NIPBL,Y
tsg,NIPBL,Y
tsg,NOTCH1,Y
tsg,NOTCH1,Y
tsg,NOTCH1,Y
tsg,NOTCH1,Y
tsg,NSD1,Y
tsg,NSD1,Y
tsg,NSD1,Y
tsg,PBRM1,Y
tsg,PBRM1,Y
tsg,PBRM1,Y
tsg,PBRM1,Y
tsg,PDS5B,Y
tsg,PIK3R1,Y
tsg,PIK3R1,Y
tsg,PRKAR1A,Y
tsg,PSIP1,Y
tsg,PSIP1,Y
tsg,PTCH1,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,PTEN,Y
tsg,RASA1,Y
tsg,RASA1,Y
tsg,RASA1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RB1,Y
tsg,RBM10,Y
tsg,RBM10,Y
tsg,RBM10,Y
tsg,RNF111,Y
tsg,RNF43,Y
tsg,RNF43,Y
tsg,RPL5,Y
tsg,RPS6KA3,Y
tsg,RUNX1,Y
tsg,RUNX1,Y
tsg,RUNX1,Y
tsg,SCAF4,Y
tsg,SCAF4,Y
tsg,SETD2,Y
tsg,SETD2,Y
tsg,SETD2,Y
tsg,SETD2,Y
tsg,SETD2,Y
tsg,SIN3A,Y
tsg,SMAD4,Y
tsg,SMAD4,Y
tsg,SMAD4,Y
tsg,SMARCA1,Y
tsg,SOX9,Y
tsg,SPTAN1,Y
tsg,STAG2,Y
tsg,STAG2,Y
tsg,STAG2,Y
tsg,STK11,Y
tsg,STK11,Y
tsg,STK11,Y
tsg,TCF12,Y
tsg,TCF7L2,Y
tsg,TGFBR2,Y
tsg,TGFBR2,Y
tsg,THRAP3,Y
tsg,TNFAIP3,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
